OrganizationType,District,OrganizationCode,OrganizationName,Street,City,State,ZIP,Phone,Fax,Website,EdProgram,ProgramType,InterDistrictMagnet,PreKindergarten,Kindergarten,Grade01,Grade02,Grade03,Grade04,Grade05,Grade06,Grade07,Grade08,Grade09,Grade10,Grade11,Grade12,SchoolCT,longitude,latitude
Public Schools,Meriden School District,806211,Orville H. Platt High School,220 Coe Ave.,Meriden,CT,06450-3812,203-235-7963,NA,www.platths.com/,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Orville H. Platt High School, Meriden, CT",-72.8267207,41.5340038
Public Schools,Middletown School District,836211,Middletown High School,200 LaRosa Lane,Middletown,CT,6457,860-704-4500,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Middletown High School, Middletown, CT",-72.6788279,41.576121
Public Schools,Milford School District,846311,Joseph A. Foran High School,80 Foran Dr.,Milford,CT,06460-7799,203-783-3502,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Joseph A. Foran High School, Milford, CT",-73.0128241,41.2192589
Public Schools,Monroe School District,856111,Masuk High School,1014 Monroe Tpke.,Monroe,CT,6468,203-452-5823,NA,www.monroeps.org,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Masuk High School, Monroe, CT",-73.1942808,41.3489066
Public Schools,Montville School District,866111,Montville High School,800 Old Colchester Rd.,Oakdale,CT,6370,860-848-9208,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Montville High School, Oakdale, CT",-72.1637177,41.4573862
Public Schools,Naugatuck School District,886111,Naugatuck High School,543 Rubber Ave.,Naugatuck,CT,06770-2887,203-720-5400,NA,www.naugatuckhigh.naugatuck.k12.ct.us/,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Naugatuck High School, Naugatuck, CT",-73.0719153,41.4917655
Public Schools,New Britain School District,896111,New Britain High School,110 Mill St.,New Britain,CT,06051-3413,860-225-6350,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"New Britain High School, New Britain, CT",-72.7780388,41.6499035
Public Schools,New Canaan School District,906111,New Canaan High School,11 Farm Rd.,New Canaan,CT,06840-6699,203-594-4600,NA,www.ncps-k12.org/Domain/9,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"New Canaan High School, New Canaan, CT",-73.4895453,41.1286974
Public Schools,New Fairfield School District,916111,New Fairfield High School,54 Gillotti Rd.,New Fairfield,CT,06812-2525,203-312-5800,203-312-5803,www.newfairfieldschools.org/nfh/,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"New Fairfield High School, New Fairfield, CT",-73.5076093,41.461007
Public Schools,New Haven School District,936411,Cooperative High School,177 College Street,New Haven,CT,6511,475-220-2400,203-691-2404,www.nhps.net,NA,NA,Yes,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Cooperative High School, New Haven, CT",-72.929631,41.3054918
Public Schools,New Haven School District,936811,Cortlandt V.R. Creed Health and Sport Sciences High School,88 Bassett Road,North Haven,CT,6473,475-220-6300,203-946-6161,www.nhps.net,NA,NA,Yes,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Cortlandt V.R. Creed Health and Sport Sciences High School, North Haven, CT",-72.8369562,41.3974636
Public Schools,New Haven School District,931711,Engineering - Science University Magnet School,500 Boston Post Road,West Haven,CT,6516,475-220-6000,203-946-8440,www.nhps.net,NA,NA,Yes,0,0,0,0,0,0,0,1,1,1,1,1,1,1,"Engineering - Science University Magnet School, West Haven, CT",-72.9661733,41.2902012
Public Schools,New Haven School District,936211,James Hillhouse High School,480 Sherman Parkway,New Haven,CT,6511,475-220-7500,203-946-8487,www.nhps.net,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"James Hillhouse High School, New Haven, CT",-72.9394501,41.3222521
Public Schools,New Haven School District,936011,Metropolitan Business Academy,115 Water Street,New Haven,CT,6511,475-220-7700,203-497-7705,www.nhps.net,NA,NA,Yes,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Metropolitan Business Academy, New Haven, CT",-72.9188338,41.3011808
Public Schools,New Haven School District,937011,New Haven Academy,444 Orange Street,New Haven,CT,6511,475-220-6600,203-946-8428,www.nhps.net,NA,NA,Yes,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"New Haven Academy, New Haven, CT",-72.918814,41.312946
Public Schools,New Haven School District,936711,Sound School,60 South Water St.,New Haven,CT,6519,475-220-2300,203-946-6874,www.nhps.net,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Sound School, New Haven, CT",-72.9285531,41.2817948
Public Schools,New Haven School District,936111,Wilbur Cross High School,181 Mitchell Dr.,New Haven,CT,6511,475-220-7400,203-946-6932,www.nhps.net,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Wilbur Cross High School, New Haven, CT",-72.9083016,41.3245699
Public Schools,New London School District,956111,New London High School,490 Jefferson Ave.,New London,CT,6320,860-437-6400,860-437-4321,www.newlondonhighschool.org,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"New London High School, New London, CT",-72.1069792,41.357904
Public Schools,New London School District,951311,Science and Technology Magnet School of Southeastern Connecticut,490 Jefferson Ave,New London,CT,6320,860-437-6496,860-439-7774,www.nlstmhs.org,NA,NA,Yes,0,0,0,0,0,0,0,1,1,1,1,1,1,1,"Science and Technology Magnet School of Southeastern Connecticut, New London, CT",-72.1204912,41.3591203
Public Schools,Newington School District,946111,Newington High School,605 Willard Ave.,Newington,CT,06111-2648,860-666-5611,NA,www.npsct.org/,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Newington High School, Newington, CT",-72.7357328,41.7008554
Public Schools,Newtown School District,976111,Newtown High School,12 Berkshire Rd.,Sandy Hook,CT,06482-1398,203-426-7646,NA,newtown.k12.ct.us/~nhs/,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Newtown High School, Sandy Hook, CT",-73.2711026,41.4099636
Public Schools,North Branford School District,996111,North Branford High School,49 Caputo Rd.,North Branford,CT,06471-1021,203-484-1465,NA,www.northbranfordschools.org,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"North Branford High School, North Branford, CT",-72.8003763,41.3359304
Public Schools,North Haven School District,1016111,North Haven High School,221 Elm Street,North Haven,CT,6473,203-239-1641,NA,www.north-haven.k12.ct.us/hs/default.htm,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"North Haven High School, North Haven, CT",-72.8633704,41.3732322
Public Schools,North Stonington School District,1026111,Wheeler High School,298 Norwich/Westerly Rd.,North Stonington,CT,06359-0901,860-535-0377,NA,www.northstonington.k12.ct.us/,NA,NA,NA,0,0,0,0,0,0,0,1,1,1,1,1,1,1,"Wheeler High School, North Stonington, CT",-71.8858121,41.4395732
Public Schools,Norwalk School District,1036211,Brien McMahon High School,300 Highland Avenue,Norwalk,CT,6854,203-852-9488,203-899-2813,bmhs.norwalkps.org,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Brien McMahon High School, Norwalk, CT",-73.4331532,41.0856093
Public Schools,Norwalk School District,1030511,Center for Global Studies,300 Highland Avenue,Norwalk,CT,6854,203-852-9488 x11007,NA,cgs.norwalkps.org/,NA,NA,Yes,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Center for Global Studies, Norwalk, CT",-73.4331531,41.0856093
Public Schools,Norwalk School District,1036111,Norwalk High School,23 Calvin Murphy Street,Norwalk,CT,06851-5597,203-838-4481,203-899-2815,nhs.norwalkps.org/,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Norwalk High School, Norwalk, CT",-73.389911,41.1222631
Public Schools,Norwalk School District,1036311,Norwalk Pathways Academy at Briggs,350 Main Street,Norwalk,CT,06851-1510,203-899-2820,203-899-2824,npa.norwalkps.org/,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Norwalk Pathways Academy at Briggs, Norwalk, CT",-73.4254035,41.1388873
Public Schools,Old Saybrook School District,1066111,Old Saybrook Senior High School,1111 Boston Post Rd.,Old Saybrook,CT,06475-4403,860-395-3175,NA,www.oldsaybrookschools.org,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Old Saybrook Senior High School, Old Saybrook, CT",-72.3969355,41.2886268
Public Schools,Oxford School District,1086011,Oxford High School,61 Quaker Farms Rd.,Oxford,CT,6478,203-888-2468,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Oxford High School, Oxford, CT",-73.1380897,41.3829347
Public Charter Schools,Path Academy District,2930113,Path Academy,832-842 Main Street,Willimantic,CT,6226,860-336-4200,NA,pathacademywindham.org,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Path Academy, Willimantic, CT",-72.2148486,41.7121151
Public Schools,Plainville School District,1106111,Plainville High School,47 Robert Holcomb Way,Plainville,CT,6062,860-793-3220,NA,phs.plainvilleschools.org/,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Plainville High School, Plainville, CT",-72.858029,41.6659273
Public Schools,Plymouth School District,1117111,Plymouth Alternative High School,77 Main Street,Terryville,CT,6786,860-314-8005,860-314-2766,plymouth.k12.ct.us,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Plymouth Alternative High School, Terryville, CT",-73.0096944,41.6800602
Public Schools,Plymouth School District,1116111,Terryville High School,33 North Harwinton Avenue,Terryville,CT,6786,860-314-2777,860-314-2785,ths.plymouth.k12.ct.us,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Terryville High School, Terryville, CT",-73.0342453,41.6883192
Public Schools,Putnam School District,1166111,Putnam High School,152 Woodstock Ave.,Putnam,CT,06260-1440,860-963-6905,NA,www.putnam.k12.ct.us/phs/index.html,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Putnam High School, Putnam, CT",-71.9169209,41.9221427
Regional Schools,Regional School District 01,2016112,Housatonic Valley Regional High School,246 Warren Turnpike Rd.,Falls Village,CT,06031-1600,860-824-5123,NA,www.hvrhs.org,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Housatonic Valley Regional High School, Falls Village, CT",-73.3623039,41.9370764
Regional Schools,Regional School District 04,2046112,Valley Regional High School,256 Kelsey Hill Rd.,Deep River,CT,06417-1699,860-526-5328,NA,www.reg4.k12.ct.us,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Valley Regional High School, Deep River, CT",-72.4476591,41.3705524
Regional Schools,Regional School District 05,2056112,Amity Regional High School,25 Newton Rd.,Woodbridge,CT,06525-1598,203-397-4830,NA,www.amityregion5.org,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Amity Regional High School, Woodbridge, CT",-73.0077248,41.3575551
Regional Schools,Regional School District 06,2066112,Wamogo Regional High School,98 Wamogo Rd.,Litchfield,CT,06759-3204,860-567-7410,NA,www.rsd6.org,NA,NA,NA,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Wamogo Regional High School, Litchfield, CT",-73.2252195,41.7280262
Regional Schools,Regional School District 07,2076112,Northwestern Regional High School,100 Battistoni Dr.,Winsted,CT,06098-1899,860-379-8525,NA,www.nwr7.com/HighSchool.html,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Northwestern Regional High School, Winsted, CT",-73.0471688,41.9133932
Regional Schools,Regional School District 08,2086112,RHAM High School,85 Wall St.,Hebron,CT,6248,860-228-9474,NA,www.rhamhs.reg8.k12.ct.us/,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"RHAM High School, Hebron, CT",-72.3647604,41.6644022
Regional Schools,Regional School District 09,2096112,Joel Barlow High School,100 Black Rock Tpke.,Redding,CT,06896-3099,203-938-2508,203-938-2959,www.joelbarlowps.org,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Joel Barlow High School, Redding, CT",-73.3390684,41.2996665
Regional Schools,Regional School District 10,2106112,Lewis S. Mills High School,26 Lyon Rd.,Burlington,CT,06013-1313,860-673-0423,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Lewis S. Mills High School, Burlington, CT",-72.9876048,41.7800978
Regional Schools,Regional School District 11,2116112,Parish Hill High School,304 Parish Hill Rd.,Chaplin,CT,6235,860-455-9584,NA,www.parishhill.org,NA,NA,NA,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Parish Hill High School, Chaplin, CT",-72.1053861,41.7511213
Regional Schools,Regional School District 13,2136112,Coginchaug Regional High School,135 Pickett Ln.,Durham,CT,06422-2001,860-349-7215,NA,crhs.rsd13ct.org/,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Coginchaug Regional High School, Durham, CT",-72.6692571,41.4768822
Regional Schools,Regional School District 14,2146112,Nonnewaug High School,"5 Minortown Road, P.O. Box 469",Woodbury,CT,06798-0469,203-263-2186,NA,www.ctreg14.org/NHS/nhs.htm,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Nonnewaug High School, Woodbury, CT",-73.1897652,41.5583302
Regional Schools,Regional School District 15,2156212,Pomperaug Regional High School,234 Judd Rd.,Southbury,CT,6488,203-262-3200,NA,www.region15.org/phs,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Pomperaug Regional High School, Southbury, CT",-73.1610296,41.5025524
Regional Schools,Regional School District 16,2166012,Woodland Regional High School,135 Back Rimmon Rd.,Beacon Falls,CT,06403-1199,203-881-5551,NA,www.region16ct.org,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Woodland Regional High School, Beacon Falls, CT",-73.0825742,41.4255144
Regional Schools,Regional School District 17,2176112,Haddam-Killingworth High School,95 Little City Road,Higganum,CT,06441-0568,860-345-8541,NA,www.rsd17.org/schools1.shtml,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Haddam-Killingworth High School, Higganum, CT",-72.5615717,41.464471
Regional Schools,Regional School District 18,2186112,Lyme-Old Lyme High School,69 Lyme St.,Old Lyme,CT,06371-2335,860-434-1651,860-434-8234,www.region18.org/page.cfm?p101,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Lyme-Old Lyme High School, Old Lyme, CT",-72.3250615,41.3185646
Regional Schools,Regional School District 19,2196112,E. O. Smith High School,1235 Storrs Rd.,Storrs,CT,6268,860-487-0877,NA,www.eosmith.org/,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"E. O. Smith High School, Storrs, CT",-72.2443372,41.8028078
Public Schools,Ridgefield School District,1186111,Ridgefield High School,700 North Salem Rd.,Ridgefield,CT,06877-1716,203-894-5750,NA,www.ridgefield.org/rhs/index.html,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Ridgefield High School, Ridgefield, CT",-73.5277591,41.3250965
Public Schools,Rocky Hill School District,1196111,Rocky Hill High School,50 Chapin Ave.,Rocky Hill,CT,6067,860-258-7721,860-258-7735,www.rockyhillps.us/RHHS/RHHS_Home.htm,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Rocky Hill High School, Rocky Hill, CT",-72.6472796,41.6700447
Public Schools,Seymour School District,1246111,Seymour High School,2 Botsford Rd.,Seymour,CT,06483-2302,203-888-2561,NA,www.seymourschools.org/shs/default.htm,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Seymour High School, Seymour, CT",-73.0986607,41.3851768
Public Schools,Shelton School District,1266111,Shelton High School,120 Meadow St.,Shelton,CT,06484-2276,203-922-3004,NA,sheltonpublicschools.org,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Shelton High School, Shelton, CT",-73.1181234,41.3200857
Public Schools,Simsbury School District,1286111,Simsbury High School,34 Farms Village Rd.,Simsbury,CT,06070-2320,860-658-0451,NA,www.simsbury.k12.ct.us/page.cfm?p33,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Simsbury High School, Simsbury, CT",-72.8215864,41.8707908
Public Schools,Somers School District,1296111,Somers High School,5 Vision Boulevard,Somers,CT,6071,860-749-2270,NA,www.somers.k12.ct.us/shs/shs_home.html,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Somers High School, Somers, CT",-72.4614876,41.9800513
Public Schools,South Windsor School District,1326211,South Windsor High School,161 Nevers Rd.,South Windsor,CT,06074-2129,860-648-5000,860-648-5013,www.southwindsorschools.org/page.cfm?p83,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"South Windsor High School, South Windsor, CT",-72.5544389,41.8421829
Public Schools,Southington School District,1316211,Southington High School,720 Pleasant Street,Southington,CT,06489-2713,860-628-3229,NA,www.southingtonschools.org/our_schools/southington_high_school/index.html,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Southington High School, Southington, CT",-72.8615408,41.6166563
Public Schools,Stafford School District,1346111,Stafford High School,145 Orcuttville Rd.,Stafford Springs,CT,06076-3719,860-684-4233,NA,www.stafford.k12.ct.us,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Stafford High School, Stafford Springs, CT",-72.3070857,41.9754116
Public Charter Schools,Stamford Academy District,2826013,Stamford Academy,229 North St.,Stamford,CT,6901,203-324-6300,NA,https:,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Stamford Academy, Stamford, CT",-73.5364836,41.0593697
Public Schools,Stamford School District,1356111,Stamford High School,55 Strawberry Hill Ave.,Stamford,CT,06902-2608,203-977-4223,NA,www.stamfordhigh.org/,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Stamford High School, Stamford, CT",-73.5317945,41.0620338
Public Schools,Stamford School District,1356411,The Academy of Information Technology,411 High Ridge Road,Stamford,CT,6905,203-977-4336,NA,www.aitestamford.org,NA,NA,Yes,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"The Academy of Information Technology, Stamford, CT",-73.546395,41.0846373
Public Schools,Stamford School District,1356311,Westhill High School,125 Roxbury Rd.,Stamford,CT,06902-1215,203-977-4477,NA,www.westhillweb.com/,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Westhill High School, Stamford, CT",-73.5647645,41.0916671
Public Schools,Stratford School District,1386111,Stratford High School,45 North Parade,Stratford,CT,06615-5822,203-385-4230,NA,stratfordhigh.stratfordk12.org/,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Stratford High School, Stratford, CT",-73.132864,41.1969273
Public Schools,Suffield School District,1396111,Suffield High School,1060 Sheldon Street,West Suffield,CT,6093,860-668-3810,NA,www.suffield.org/highschool/Default.htm,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Suffield High School, West Suffield, CT",-72.6927204,41.9807467
Public Charter Schools,The Bridge Academy District,2696113,The Bridge Academy,160 Pulaski Street,Bridgeport,CT,6608,203-336-9999,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"The Bridge Academy, Bridgeport, CT",-73.1842439,41.184048
Endowed and Incorporated Academies Schools,The Gilbert School District,9026122,The Gilbert School,200 Williams Ave.,Winsted,CT,06098-1190,860-379-8521,860-379-6163,www.gilbertschool.org,NA,NA,NA,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"The Gilbert School, Winsted, CT",-73.07244,41.9306359
Public Schools,Thompson School District,1416111,Tourtellotte Memorial High School,785 Riverside Dr.,North Grosvenordale,CT,06255-0835,860-923-9303,NA,www.tmhs.thompsonk12.org,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Tourtellotte Memorial High School, North Grosvenordale, CT",-71.897964,41.977303
Public Schools,Tolland School District,1426111,Tolland High School,1 Eagle Hill,Tolland,CT,06084-3323,860-870-6818,860-870-6826,www.ths.tolland.k12.ct.us,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Tolland High School, Tolland, CT",-72.3396133,41.8717929
Public Schools,Torrington School District,1436111,Torrington High School,50 Major Besse Dr.,Torrington,CT,06790-3793,860-489-2294,NA,www.torrington.org/our_schools/torrington_high_school/index.html,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Torrington High School, Torrington, CT",-73.1108784,41.8161548
Public Schools,Trumbull School District,1446111,Trumbull High School,72 Strobel Rd.,Trumbull,CT,06611-5510,203-452-4555,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Trumbull High School, Trumbull, CT",-73.1928208,41.2645256
Public Schools,Vernon School District,1466111,Rockville High School,70 Loveland Hill,Vernon,CT,06066-2304,860-870-6050,NA,www.rockvillehighschool.org/,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Rockville High School, Vernon, CT",-72.4799723,41.8569939
Public Schools,Wallingford School District,1486111,Lyman Hall High School,70 Pond Hill Road,Wallingford,CT,06492-4809,203-294-5350,203-294-5353,www.wallingford.k12.ct.us/page.cfm?p11176,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Lyman Hall High School, Wallingford, CT",-72.8184949,41.437635
Public Schools,Wallingford School District,1486211,Mark T. Sheehan High School,142 Hope Hill Road,Wallingford,CT,06492-2254,203-294-5900,203-294-5980,www.wallingford.k12.ct.us/page.cfm?p11355,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Mark T. Sheehan High School, Wallingford, CT",-72.8359585,41.4854566
Public Schools,Waterbury School District,1516211,Crosby High School,300 Pierpont Rd.,Waterbury,CT,06705-3905,203-574-8061,NA,www.crosbyhigh.com/,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Crosby High School, Waterbury, CT",-72.9728745,41.5458635
Public Schools,Waterbury School District,1516411,John F. Kennedy High School,422 Highland Ave.,Waterbury,CT,06708-3443,203-574-8153,NA,www.khswtby.org/,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"John F. Kennedy High School, Waterbury, CT",-73.0572223,41.5458901
Public Schools,Waterbury School District,1516011,Waterbury Arts Magnet School (High),16 South Elm St.,Waterbury,CT,6706,203-573-6300,NA,NA,NA,NA,Yes,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Waterbury Arts Magnet School (High), Waterbury, CT",-73.0388674,41.5547227
Public Schools,Waterbury School District,1516711,Waterbury Career Academy,175 Birch Street,Waterbury,CT,6704,203-574-8000,NA,www.waterbury.k12.ct.us,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,1,1,1,1,"Waterbury Career Academy, Waterbury, CT",-73.0203011,41.5575389
Public Schools,Waterbury School District,1516311,Wilby High School,568 Bucks Hill Rd.,Waterbury,CT,06704-1296,203-574-8100,NA,www.wilbyhs.org/,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Wilby High School, Waterbury, CT",-73.0265679,41.604199
Public Schools,Waterford School District,1526111,Waterford High School,20 Rope Ferry Rd.,Waterford,CT,06385-2894,860-437-6956,NA,www.waterfordschools.org/whsnew/index.htm,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Waterford High School, Waterford, CT",-72.1290064,41.3416973
Public Schools,Watertown School District,1536111,Watertown High School,324 French St.,Watertown,CT,06795-2929,860-945-4810,860-945-3348,www.watertownps.org,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Watertown High School, Watertown, CT",-73.1014924,41.5949005
Public Schools,West Hartford School District,1556111,Conard High School,110 Beechwood Rd.,West Hartford,CT,6107,860-231-5000,NA,conard.whps.org,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Conard High School, West Hartford, CT",-72.7515446,41.7361993
Public Schools,West Hartford School District,1556211,Hall High School,975 North Main St.,West Hartford,CT,06117-2057,860-232-4561,NA,hall.whps.org,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Hall High School, West Hartford, CT",-72.7510632,41.7943418
Public Schools,Westbrook School District,1546111,Westbrook High School,156 McVeagh Rd.,Westbrook,CT,6498,860-399-6214,NA,www.westbrookctschools.org/whs/,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Westbrook High School, Westbrook, CT",-72.4538044,41.2984594
Public Schools,Weston School District,1576111,Weston High School,115 School Rd.,Weston,CT,06883-1623,203-291-1602,NA,www.westonk12-ct.com/WHS/whshome.html,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Weston High School, Weston, CT",-73.3780535,41.210428
Public Schools,Westport School District,1586111,Staples High School,70 North Ave.,Westport,CT,06880-2720,203-341-1210,NA,shs.westport.k12.ct.us/staplesLMC/,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Staples High School, Westport, CT",-73.328314,41.1544307
Public Schools,Wethersfield School District,1596111,Wethersfield High School,411 Wolcott Hill Rd.,Wethersfield,CT,06109-2798,860-571-8200,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Wethersfield High School, Wethersfield, CT",-72.6711394,41.7074175
Public Schools,Wilton School District,1616111,Wilton High School,395 Danbury Rd.,Wilton,CT,06897-2006,203-762-0381,NA,www.wilton.k12.ct.us/whs/,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Wilton High School, Wilton, CT",-73.4330463,41.2104705
Public Schools,Windham School District,1636111,Windham High School,355 High St.,Willimantic,CT,06226-1306,860-465-2480,NA,whs.windham.k12.ct.us/,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Windham High School, Willimantic, CT",-72.2147817,41.723156
Public Schools,Windsor Locks School District,1656111,Windsor Locks High School,58 South Elm St.,Windsor Locks,CT,06096-2399,860-292-5032,NA,www.wlps.org/whs/,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Windsor Locks High School, Windsor Locks, CT",-72.6430531,41.9213507
Public Schools,Windsor School District,1646111,Windsor High School,50 Sage Park Rd.,Windsor,CT,06095-3329,860-687-2020,NA,www.windsorct.org/whs/index.htm,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Windsor High School, Windsor, CT",-72.6551022,41.8443326
Public Schools,Wolcott School District,1666111,Wolcott High School,457 Bound Line Rd.,Wolcott,CT,06716-2007,203-879-8164,NA,www.whs.wolcottps.org/,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Wolcott High School, Wolcott, CT",-72.9795493,41.6070419
Public Schools,Avon School District,46111,Avon High School,510 West Avon Rd.,Avon,CT,06001-2519,860-404-4740,860-404-4743,www.avon.k12.ct.us/AvonHigh/,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Avon High School, Avon, CT",-72.8621958,41.7834386
Public Schools,Berlin School District,76111,Berlin High School,139 Patterson Way,Berlin,CT,06037-3146,860-828-6577,NA,www.berlinschools.org,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Berlin High School, Berlin, CT",-72.7527695,41.6215191
Public Schools,Bloomfield School District,116411,Learning Academy at Bloomfield,20-28 Sargeant Street,Hartford,CT,6105,860-761-7300,860-297-0174,www.bloomfieldschools.org,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,"Learning Academy at Bloomfield, Hartford, CT",-72.6813585,41.7593454
